"Scientific_Name","Species_Name"
"abrachyrhynchus","Pink-footed goose"
"acalliptera","Eastern happy"
"acarolinensis","Green anole"
"acchrysaetos","Golden eagle"
"acitrinellus","Midas cichlid"
"amelanoleuca","Giant panda"
"amexicanus","Mexican tetra"
"anancymaae","Ma's night monkey"
"aocellaris","Clown anemonefish"
"apercula","Orange clownfish"
"aplatyrhynchos","Mallard"
"apolyacanthus","Spiny chromis"
"applatyrhynchos","Duck"
"atestudineus","Climbing perch"
"bbbison","American bison"
"bgrunniens","Domestic yak"
"bihybrid","Hybrid - Bos Indicus"
"bmusculus","Blue whale"
"bmutus","Wild yak"
"bsplendens","Siamese fighting fish"
"btaurus","Cow"
"cabingdonii","Abingdon island giant tortoise"
"catys","Sooty mangabey"
"cauratus","Goldfish"
"ccapucinus","Capuchin"
"ccarpio","Common carp"
"cdromedarius","Arabian camel"
"celegans","Caenorhabditis elegans"
"cgchok1gshd","Chinese hamster CHOK1GS"
"cgobio","Channel bull blenny"
"charengus","Atlantic herring"
"chircus","Goat"
"choffmanni","Sloth"
"chyarkandensis","Yarkand deer"
"cintestinalis","C.intestinalis"
"cjacchus","White-tufted-ear marmoset"
"cjaponica","Japanese quail"
"clanigera","Long-tailed chinchilla"
"cldingo","Dingo"
"clfamiliaris","Dog"
"clumpus","Lumpfish"
"cmilii","Elephant shark"
"cpbellii","Painted turtle"
"cporcellus","Guinea Pig"
"cporosus","Australian saltwater crocodile"
"csabaeus","Vervet-AGM"
"csavignyi","C.savignyi"
"csemilaevis","Tongue sole"
"csyrichta","Tarsier"
"cvariegatus","Sheepshead minnow"
"cwagneri","Chacoan peccary"
"dclupeoides","Denticle herring"
"dlabrax","European seabass"
"dleucas","Beluga whale"
"dmelanogaster","Drosophila melanogaster"
"dnovemcinctus","Armadillo"
"dordii","Kangaroo rat"
"drerio","Zebrafish"
"eaasinus","Donkey"
"eburgeri","Hagfish"
"ecaballus","Horse"
"ecalabaricus","Reedfish"
"eelectricus","Electric eel"
"eeuropaeus","Hedgehog"
"elucius","Northern pike"
"etelfairi","Lesser hedgehog tenrec"
"falbicollis","Collared flycatcher"
"fcatus","Cat"
"fheteroclitus","Mummichog"
"gaculeatus","Stickleback"
"gevgoodei","Goodes thornscrub tortoise"
"gfortis","Medium ground-finch"
"ggallus","Chicken"
"ggorilla","Gorilla"
"gmorhua","Atlantic cod"
"hburtoni","Burton's mouthbrooder"
"hcomes","Tiger tail seahorse"
"hgfemale","Naked mole-rat female"
"hhucho","Huchen"
"hsapiens","Human"
"ipunctatus","Channel catfish"
"itridecemlineatus","Squirrel"
"jjaculus","Lesser Egyptian jerboa"
"kmarmoratus","Mangrove rivulus"
"lafricana","Elephant"
"lbergylta","Ballan wrasse"
"lcalcarifer","Barramundi perch"
"lchalumnae","Coelacanth"
"lcrocea","Large yellow croaker"
"llaticaudata","Blue-ringed sea krait"
"lleishanense","Leishan spiny toad"
"loculatus","Spotted gar"
"marmatus","Zig-zag eel"
"mauratus","Golden Hamster"
"mcaroli","Ryukyu mouse"
"mdomestica","Opossum"
"mfascicularis","Crab-eating macaque"
"mgallopavo","Turkey"
"mleucophaeus","Drill"
"mlucifugus","Microbat"
"mmmarmota","Alpine marmot"
"mmonoceros","Narwhal"
"mmoschiferus","Siberian musk deer"
"mmulatta","Macaque"
"mmurdjan","Pinecone soldierfish"
"mmurinus","Mouse Lemur"
"mmusculus","Mouse"
"mnemestrina","Pig-tailed macaque"
"mochrogaster","Prairie vole"
"mpahari","Shrew mouse"
"mpfuro","Ferret"
"mspicilegus","Steppe mouse"
"mspretus","Algerian mouse"
"mzebra","Zebra mbuna"
"nbrichardi","Lyretail cichlid"
"neugenii","Wallaby"
"nfurzeri","Turquoise killifish"
"ngalili","Upper Galilee mountains blind mole rat"
"nleucogenys","Gibbon"
"nnaja","Indian cobra"
"nscutatus","Mainland tiger snake"
"nvison","American mink"
"oanatinus","Platypus"
"oarambouillet","Sheep"
"oaries","Sheep (texel)"
"ocuniculus","Rabbit"
"odegus","Degu"
"ogarnettii","Bushbaby"
"ojavanicus","Javanese ricefish"
"okisutch","Coho salmon"
"olatipes","Japanese medaka HdrR"
"omelastigma","Indian medaka"
"omykiss","Rainbow trout"
"oniloticus","Nile tilapia"
"oprinceps","Pika"
"osinensis","Chinese medaka"
"otshawytscha","Chinook salmon"
"pabelii","Sumatran orangutan"
"panubis","Olive baboon"
"pcapensis","Hyrax"
"pcatodon","Sperm whale"
"pcinereus","Koala"
"pcoquereli","Coquerel's sifaka"
"pformosa","Amazon molly"
"pkingsleyae","Paramormyrops kingsleyae"
"platipinna","Sailfin molly"
"pleo","Lion"
"pmajor","Great Tit"
"pmarinus","Lamprey"
"pmbairdii","Northern American deer mouse"
"pmuralis","Common wall lizard"
"pnattereri","Red-bellied piranha"
"pnyererei","Makobe Island cichlid"
"ppaniscus","Bonobo"
"ppardus","Leopard"
"preticulata","Guppy"
"psimus","Greater bamboo lemur"
"psinensis","Chinese softshell turtle"
"psinus","Vaquita"
"ptaltaica","Tiger"
"ptextilis","Eastern brown snake"
"ptroglodytes","Chimpanzee"
"pvampyrus","Megabat"
"rbieti","Black snub-nosed monkey"
"rferrumequinum","Greater horseshoe bat"
"rnorvegicus","Rat"
"rroxellana","Golden snub-nosed monkey"
"saraneus","Shrew"
"saurata","Gilthead seabream"
"sbboliviensis","Bolivian squirrel monkey"
"scanaria","Common canary"
"scaustralis","African ostrich"
"scerevisiae","Saccharomyces cerevisiae"
"sdumerili","Greater amberjack"
"sformosus","Asian bonytongue"
"sgrahami","Golden-line barbel"
"shabroptila","Kakapo"
"sharrisii","Tasmanian devil"
"sldorsalis","Yellowtail amberjack"
"slucioperca","Pike-perch"
"smaximus","Turbot"
"smerianae","Argentine black and white tegu"
"spartitus","Bicolor damselfish"
"spunctatus","Tuatara"
"ssalar","Atlantic salmon"
"ssbamei","Pig - Bamei"
"ssberkshire","Pig - Berkshire"
"sscrofa","Pig"
"sshampshire","Pig - Hampshire"
"ssjinhua","Pig - Jinhua"
"sslandrace","Pig - Landrace"
"sslargewhite","Pig - Largewhite"
"ssmeishan","Pig - Meishan"
"sspietrain","Pig - Pietrain"
"ssrongchang","Pig - Rongchang"
"sstibetan","Pig - Tibetan"
"ssusmarc","Pig USMARC"
"sswuzhishan","Pig - Wuzhishan"
"strutta","Brown trout"
"svulgaris","Eurasian red squirrel"
"tbelangeri","Tree Shrew"
"tctriunguis","Three-toed box turtle"
"tguttata","Zebra finch"
"tnigroviridis","Tetraodon"
"trubripes","Fugu"
"ttruncatus","Dolphin"
"uamericanus","American black bear"
"umaritimus","Polar bear"
"uparryii","Arctic ground squirrel"
"vpacos","Alpaca"
"vursinus","Common wombat"
"vvulpes","Red fox"
"xmaculatus","Platyfish"
"xtropicalis","Tropical clawed frog"
